dataset,classifier_type,n_trees,n_features,train_time,infer_time,accuracy,feature_importance
cmc,decision,1,2,0.4074,0.0293,0.4644,"{'Wifes_age': 136, 'Wifes_education': 0, 'Husbands_education': 0, 'Number_of_children_ever_born': 71, 'Wifes_religion': 0, 'Wifes_now_working%3F': 0, 'Husbands_occupation': 0, 'Standard-of-living_index': 0, 'Media_exposure': 0, '__total__': 207}"
cmc,decision,1,4,0.5383,0.0408,0.4915,"{'Wifes_age': 157, 'Wifes_education': 0, 'Husbands_education': 0, 'Number_of_children_ever_born': 93, 'Wifes_religion': 25, 'Wifes_now_working%3F': 0, 'Husbands_occupation': 0, 'Standard-of-living_index': 0, 'Media_exposure': 10, '__total__': 285}"
cmc,decision,1,6,0.8485,0.0578,0.4373,"{'Wifes_age': 257, 'Wifes_education': 0, 'Husbands_education': 0, 'Number_of_children_ever_born': 0, 'Wifes_religion': 47, 'Wifes_now_working%3F': 33, 'Husbands_occupation': 49, 'Standard-of-living_index': 73, 'Media_exposure': 22, '__total__': 481}"
cmc,decision,1,unif,0.4637,0.0566,0.4814,"{'Wifes_age': 0, 'Wifes_education': 11, 'Husbands_education': 0, 'Number_of_children_ever_born': 84, 'Wifes_religion': 23, 'Wifes_now_working%3F': 48, 'Husbands_occupation': 0, 'Standard-of-living_index': 80, 'Media_exposure': 0, '__total__': 246}"
cmc,decision,10,2,0.7451,0.3425,0.4576,"{'Wifes_age': 87, 'Wifes_education': 12, 'Husbands_education': 15, 'Number_of_children_ever_born': 109, 'Wifes_religion': 0, 'Wifes_now_working%3F': 6, 'Husbands_occupation': 41, 'Standard-of-living_index': 35, 'Media_exposure': 3, '__total__': 308}"
cmc,decision,10,4,3.6152,0.454,0.5525,"{'Wifes_age': 805, 'Wifes_education': 112, 'Husbands_education': 222, 'Number_of_children_ever_born': 303, 'Wifes_religion': 76, 'Wifes_now_working%3F': 129, 'Husbands_occupation': 129, 'Standard-of-living_index': 147, 'Media_exposure': 72, '__total__': 1995}"
cmc,decision,10,6,7.0069,0.5036,0.5085,"{'Wifes_age': 1443, 'Wifes_education': 230, 'Husbands_education': 303, 'Number_of_children_ever_born': 794, 'Wifes_religion': 231, 'Wifes_now_working%3F': 297, 'Husbands_occupation': 382, 'Standard-of-living_index': 352, 'Media_exposure': 108, '__total__': 4140}"
cmc,decision,10,unif,6.1469,0.451,0.5153,"{'Wifes_age': 1194, 'Wifes_education': 184, 'Husbands_education': 296, 'Number_of_children_ever_born': 590, 'Wifes_religion': 147, 'Wifes_now_working%3F': 155, 'Husbands_occupation': 493, 'Standard-of-living_index': 380, 'Media_exposure': 79, '__total__': 3518}"
cmc,decision,25,2,2.3161,0.8015,0.4576,"{'Wifes_age': 581, 'Wifes_education': 31, 'Husbands_education': 46, 'Number_of_children_ever_born': 237, 'Wifes_religion': 14, 'Wifes_now_working%3F': 28, 'Husbands_occupation': 46, 'Standard-of-living_index': 27, 'Media_exposure': 27, '__total__': 1037}"
cmc,decision,25,4,9.5296,1.0805,0.5322,"{'Wifes_age': 1937, 'Wifes_education': 213, 'Husbands_education': 168, 'Number_of_children_ever_born': 1289, 'Wifes_religion': 205, 'Wifes_now_working%3F': 366, 'Husbands_occupation': 595, 'Standard-of-living_index': 443, 'Media_exposure': 144, '__total__': 5360}"
