dataset,classifier_type,n_trees,n_features,train_time,infer_time,accuracy,feature_importance
cmc,random,1,1,0.6476,0.06,0.4983,"{'Wifes_age': 140, 'Wifes_education': 60, 'Husbands_education': 45, 'Number_of_children_ever_born': 71, 'Wifes_religion': 19, 'Wifes_now_working%3F': 15, 'Husbands_occupation': 62, 'Standard-of-living_index': 51, 'Media_exposure': 7, '__total__': 470}"
cmc,random,1,3,0.5499,0.0583,0.5153,"{'Wifes_age': 166, 'Wifes_education': 24, 'Husbands_education': 18, 'Number_of_children_ever_born': 94, 'Wifes_religion': 16, 'Wifes_now_working%3F': 23, 'Husbands_occupation': 43, 'Standard-of-living_index': 50, 'Media_exposure': 11, '__total__': 445}"
cmc,random,1,4,0.5082,0.0525,0.5017,"{'Wifes_age': 123, 'Wifes_education': 16, 'Husbands_education': 28, 'Number_of_children_ever_born': 65, 'Wifes_religion': 17, 'Wifes_now_working%3F': 24, 'Husbands_occupation': 43, 'Standard-of-living_index': 41, 'Media_exposure': 7, '__total__': 364}"
cmc,random,10,1,6.2027,0.5948,0.539,"{'Wifes_age': 1676, 'Wifes_education': 421, 'Husbands_education': 291, 'Number_of_children_ever_born': 1042, 'Wifes_religion': 97, 'Wifes_now_working%3F': 158, 'Husbands_occupation': 450, 'Standard-of-living_index': 498, 'Media_exposure': 71, '__total__': 4704}"
cmc,random,10,3,5.1812,0.5125,0.5458,"{'Wifes_age': 1375, 'Wifes_education': 298, 'Husbands_education': 323, 'Number_of_children_ever_born': 883, 'Wifes_religion': 195, 'Wifes_now_working%3F': 290, 'Husbands_occupation': 415, 'Standard-of-living_index': 421, 'Media_exposure': 82, '__total__': 4282}"
cmc,random,10,4,5.3618,0.5031,0.522,"{'Wifes_age': 1318, 'Wifes_education': 290, 'Husbands_education': 236, 'Number_of_children_ever_born': 758, 'Wifes_religion': 199, 'Wifes_now_working%3F': 252, 'Husbands_occupation': 435, 'Standard-of-living_index': 418, 'Media_exposure': 77, '__total__': 3983}"
cmc,random,25,1,15.5553,1.5248,0.5119,"{'Wifes_age': 4184, 'Wifes_education': 1125, 'Husbands_education': 686, 'Number_of_children_ever_born': 2569, 'Wifes_religion': 363, 'Wifes_now_working%3F': 368, 'Husbands_occupation': 1182, 'Standard-of-living_index': 1190, 'Media_exposure': 208, '__total__': 11875}"
cmc,random,25,3,13.1289,1.3109,0.5729,"{'Wifes_age': 3627, 'Wifes_education': 765, 'Husbands_education': 686, 'Number_of_children_ever_born': 2045, 'Wifes_religion': 476, 'Wifes_now_working%3F': 631, 'Husbands_occupation': 1071, 'Standard-of-living_index': 1195, 'Media_exposure': 183, '__total__': 10679}"
cmc,random,25,4,13.7444,1.2589,0.5559,"{'Wifes_age': 3319, 'Wifes_education': 802, 'Husbands_education': 793, 'Number_of_children_ever_born': 1722, 'Wifes_religion': 489, 'Wifes_now_working%3F': 645, 'Husbands_occupation': 1055, 'Standard-of-living_index': 1095, 'Media_exposure': 183, '__total__': 10103}"
cmc,random,50,1,31.5248,3.0825,0.522,"{'Wifes_age': 8218, 'Wifes_education': 2328, 'Husbands_education': 1794, 'Number_of_children_ever_born': 5294, 'Wifes_religion': 720, 'Wifes_now_working%3F': 698, 'Husbands_occupation': 2142, 'Standard-of-living_index': 2295, 'Media_exposure': 395, '__total__': 23884}"
cmc,random,50,3,25.9186,2.5991,0.5525,"{'Wifes_age': 7181, 'Wifes_education': 1712, 'Husbands_education': 1568, 'Number_of_children_ever_born': 4021, 'Wifes_religion': 898, 'Wifes_now_working%3F': 1237, 'Husbands_occupation': 2175, 'Standard-of-living_index': 2323, 'Media_exposure': 334, '__total__': 21449}"
cmc,random,50,4,27.5851,2.4774,0.5661,"{'Wifes_age': 6754, 'Wifes_education': 1441, 'Husbands_education': 1442, 'Number_of_children_ever_born': 3684, 'Wifes_religion': 1028, 'Wifes_now_working%3F': 1355, 'Husbands_occupation': 1933, 'Standard-of-living_index': 2383, 'Media_exposure': 429, '__total__': 20449}"
cmc,random,75,1,46.326,4.8864,0.5424,"{'Wifes_age': 12169, 'Wifes_education': 3322, 'Husbands_education': 2713, 'Number_of_children_ever_born': 7722, 'Wifes_religion': 873, 'Wifes_now_working%3F': 1347, 'Husbands_occupation': 3277, 'Standard-of-living_index': 3571, 'Media_exposure': 606, '__total__': 35600}"
cmc,random,75,3,38.4704,3.8565,0.5322,"{'Wifes_age': 10841, 'Wifes_education': 2195, 'Husbands_education': 2315, 'Number_of_children_ever_born': 6263, 'Wifes_religion': 1528, 'Wifes_now_working%3F': 1858, 'Husbands_occupation': 3233, 'Standard-of-living_index': 3161, 'Media_exposure': 562, '__total__': 31956}"
cmc,random,75,4,41.1944,3.6551,0.5932,"{'Wifes_age': 10481, 'Wifes_education': 2046, 'Husbands_education': 2265, 'Number_of_children_ever_born': 5500, 'Wifes_religion': 1445, 'Wifes_now_working%3F': 2017, 'Husbands_occupation': 3180, 'Standard-of-living_index': 3345, 'Media_exposure': 530, '__total__': 30809}"
cmc,random,100,1,61.4524,5.7145,0.5288,"{'Wifes_age': 16281, 'Wifes_education': 4391, 'Husbands_education': 3447, 'Number_of_children_ever_born': 10656, 'Wifes_religion': 1366, 'Wifes_now_working%3F': 1586, 'Husbands_occupation': 4116, 'Standard-of-living_index': 4724, 'Media_exposure': 748, '__total__': 47315}"
cmc,random,100,3,51.937,5.1323,0.5695,"{'Wifes_age': 14406, 'Wifes_education': 3074, 'Husbands_education': 3081, 'Number_of_children_ever_born': 8628, 'Wifes_religion': 2019, 'Wifes_now_working%3F': 2591, 'Husbands_occupation': 3936, 'Standard-of-living_index': 4796, 'Media_exposure': 879, '__total__': 43410}"
cmc,random,100,4,53.7473,4.9332,0.5831,"{'Wifes_age': 13461, 'Wifes_education': 2889, 'Husbands_education': 2952, 'Number_of_children_ever_born': 7626, 'Wifes_religion': 1893, 'Wifes_now_working%3F': 2675, 'Husbands_occupation': 4123, 'Standard-of-living_index': 4339, 'Media_exposure': 692, '__total__': 40650}"
hepatitis,random,1,1,0.0306,0.0055,0.8387,"{'age': 2, 'sex': 1, 'steroid': 1, 'antivirals': 2, 'fatigue': 0, 'malaise': 1, 'anorexia': 1, 'liver_big': 1, 'liver_firm': 0, 'spleen_palpable': 1, 'spiders': 2, 'ascites': 2, 'varices': 1, 'bilirubin': 2, 'alk_phosphate': 1, 'sgot': 1, 'albumin': 3, 'protime': 4, 'histology': 2, '__total__': 28}"
hepatitis,random,1,3,0.0364,0.0054,0.9355,"{'age': 1, 'sex': 1, 'steroid': 1, 'antivirals': 0, 'fatigue': 1, 'malaise': 0, 'anorexia': 1, 'liver_big': 1, 'liver_firm': 1, 'spleen_palpable': 0, 'spiders': 1, 'ascites': 2, 'varices': 0, 'bilirubin': 3, 'alk_phosphate': 3, 'sgot': 1, 'albumin': 1, 'protime': 1, 'histology': 0, '__total__': 19}"
hepatitis,random,1,4,0.0268,0.0048,0.8387,"{'age': 0, 'sex': 1, 'steroid': 0, 'antivirals': 0, 'fatigue': 1, 'malaise': 1, 'anorexia': 1, 'liver_big': 0, 'liver_firm': 0, 'spleen_palpable': 0, 'spiders': 1, 'ascites': 0, 'varices': 1, 'bilirubin': 2, 'alk_phosphate': 1, 'sgot': 1, 'albumin': 2, 'protime': 1, 'histology': 1, '__total__': 14}"
